en,fr
"Astronomers « Return to the astronomers John Richard Bond (1950- ) World expert in theoretical astrophysics and cosmology, he made Canada a leader in cosmology John Richard Bond was born in 1950 in Toronto.","Astronomes « Retour aux astronomes John Richard Bond (1950- ) Leader mondial en astrophysique théorique et cosmologie, il a fait du Canada un chef de file en cosmologie John Richard Bond naît en 1950 à Toronto."
"In 1973, he obtained his bachelor’s degree from the University of Toronto and enrolled at the California Institute of Technology (Caltech) in 1974.","En 1973, il décroche son baccalauréat de l'Université de Toronto, puis s'inscrit en 1974 à l'Institut de Technologie de la Californie."
He became a member of the Canadian Institute for Advanced Research and helped establish the Canadian Institute for Theoretical Astrophysics.,"En 1985, il déménage au Canada, devient membre de l'Institut Canadien de Recherches Avancées et professeur à l'Université de Toronto où il contribue à fonder l'Institut Canadien d'Astrophysique Théorique."
Bond specializes in the study of the structure of the Universe.,Bond se spécialise dans l'étude de la structure de l'Univers.
"During the 1980’s, very few researchers believed that it would be possible to detect variations in the cosmic background radiation due to its incredibly old age of 14 billion years.","À cette époque, peu de chercheurs croient qu'il est possible de détecter de telles variations ; le rayonnement de fond cosmologique étant âgé d'environ 14 milliards d'années."
"However, in 1991, the COBE satellite (COsmic Background Explorer) did indeed reveal slight variations.","Pourtant, en 1991, le satellite spatial COBE (pour COsmic Background Explorer) met à jour de légères variations."
"Encouraged by these results, Bond continued to develop many sophisticated mathematical tools during the 1990’s in order to study these variations.","Encouragé par ces résultats, Bond continue à développer au cours des années 90 de nombreux outils mathématiques sophistiqués pour l'étude de ces variations."
He published many significant articles that established new rigorous standards in various disciplines or created entirely new research domains.,Il publie plusieurs articles importants qui établissent de nouveaux standards de rigueur dans certaines disciplines ou qui engendrent carrément de nouveaux domaines de recherche.
"Bond’s studies were so numerous between 1981 and 1997 that he was the most cited Canadian astronomer in specialized journals during that time (more than 3,000 citations).","Entre 1981 et 1997, les recherches de Bond sont si importantes qu'il est l'astronome canadien dont on cite le plus souvent les travaux dans les revues spécialisées (plus de 3000 citations)."
"In 1996, he was named Director of the Canadian Institute for Theoretical Astrophysics.","En 1996, il est nommé directeur de l'Institut Canadien d'Astrophysique Théorique."
"In 1998, the first Boomerang mission was launched above the Antarctic.","En 1998, une première mission Boomerang est lancée au-dessus de l'Antarctique."
It consisted of a balloon that carried a 1.20-metre telescope (named Boomerang) to an altitude of 35 kilometres to avoid the terrestrial atmosphere that would interfere with its instruments.,"Il s'agit d'un ballon qui transporte un télescope de 1,20 mètre (appelé Boomerang) à 35 kilomètres d'altitude pour éviter que l'atmosphère terrestre ne puisse interférer avec les instruments de mesure."
"In 2000, Bond and several colleagues used the Boomerang results to demonstrate that the Universe has a planar geometry and to confirm that it is expanding.","Une nouvelle carte de distribution du rayonnement de fond cosmologique est dressée et, en 2000, Bond et plusieurs collègues démontrent que l'Univers a une géométrie plane et confirment son mouvement d'expansion."
"In 2001, Bond became director of research programs at the Canadian Institute for Advanced Research.","En 2001, Bond devient directeur des programmes de recherche à l'Institut Canadien de Recherches Avancées."
"Today, he tries to understand the cause of the accelerated expansion of the Universe, which is to understand the very nature of dark energy that Einstein first introduced in his theories as ""the cosmological constant"".","Aujourd'hui, il cherche à comprendre la cause de l'expansion accélérée de l'Univers, soit la nature de l'énergie sombre, cette énergie qu'Einstein avait introduite dans ses théories sous le nom de « constante cosmologique » mais dont il ignorait la vraie nature."
It is proposed that dark energy is a repulsive force that counterbalances and may exceed the braking force of gravity; it is the force that attempts to push the expansion of the Universe to infinity.,"L'énergie sombre est à la source d'une force de répulsion qui contrebalance et peut excéder la force de freinage de la gravitation, ce qui pousse l'Univers à l'expansion vers l'infini."
"According to Bond, it is possible that some small trace – some evidence – of the existence of dark energy could be found in the cosmic background radiation.","Selon Bond, il y a des chances de retrouver une trace de l'existence de l'énergie sombre dans le rayonnement de fond cosmique."
"Bond received (and continues to receive) numerous national and international awards for his work, including being elected as a member to the Royal Society of Canada.",Bond a reçu pour son travail (et continue de recevoir) de nombreux prix nationaux et internationaux dont celui d'être nommé membre de la Société Royale du Canada.
Video sequence  John Richard Bond explains the purpose of astronomy,Séquence vidéo  John Richard Bond explique ce qu’est un cosmologue expérimental.
"Astronomers « Return to the astronomers Scott Duncan Tremaine (1950- ) As a world expert in cosmic dynamics, he made several predictions that were subsequently confirmed by observation Scott Duncan Tremaine was born in 1950 in Toronto.","Astronomes « Retour aux astronomes Scott Duncan Tremaine (1950- ) Expert mondial en dynamique cosmique, il a fait plusieurs prédictions qui ont ensuite été confirmées par l'observation Scott Duncan Tremaine naît en 1950 à Toronto."
"He obtained his bachelor’s degree from McMaster’s University in 1971, and his master’s and doctoral degrees in 1973 and 1975 respectively from the University of Princeton in the United States.","Il obtient son baccalauréat de l'Université de McMaster en 1971, puis sa maîtrise et son doctorat de l'Université de Princeton, aux États-Unis, en 1973 et 1975."
"Upon obtaining his doctoral degree, he was hired as a researcher at the Massachusetts Institute of Technology.","Aussitôt son doctorat obtenu, on l'engage comme chercheur à l'Institut de Technologie du Massachusetts."
He stayed for two years and then moved to England in 1977 to become a research agent in the Institute of Astronomy at the University of Cambridge.,"Il y reste deux ans et, en 1977, il déménage en Angleterre et devient agent de recherche à l'Institut d'Astronomie de Cambridge."
